network_i,topology,aval_i,seed_node,e_w_mult,e_w,i_w,theta,slope,p_ext,N,dt,max_steps,n_edges,n_edges_E,n_edges_I,size,duration_steps,duration_time,peak_active,active_steps,censored
0,hiermod,34,337,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116977,1000,10.0,158,1000,True
0,hiermod,35,26,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118956,1000,10.0,150,1000,True
0,hiermod,36,327,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119864,1000,10.0,151,1000,True
0,hiermod,37,772,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,113440,1000,10.0,150,1000,True
0,hiermod,38,674,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117276,1000,10.0,145,1000,True
0,hiermod,39,1981,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117746,1000,10.0,153,1000,True
0,hiermod,0,1499,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,122313,1000,10.0,149,1000,True
0,hiermod,1,97,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,124139,1000,10.0,156,1000,True
0,hiermod,2,1268,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118836,1000,10.0,158,1000,True
0,hiermod,3,712,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,122536,1000,10.0,156,1000,True
0,hiermod,4,1546,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,125328,1000,10.0,153,1000,True
0,hiermod,5,306,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115465,1000,10.0,156,1000,True
0,hiermod,6,156,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119088,1000,10.0,147,1000,True
0,hiermod,7,140,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,122050,1000,10.0,152,1000,True
0,hiermod,8,761,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,120616,1000,10.0,156,1000,True
0,hiermod,9,1708,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119783,1000,10.0,151,1000,True
0,hiermod,10,221,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,122800,1000,10.0,153,1000,True
0,hiermod,11,949,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,124029,1000,10.0,151,999,True
0,hiermod,12,1517,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119747,1000,10.0,148,1000,True
0,hiermod,13,809,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,121079,1000,10.0,156,1000,True
0,hiermod,14,1045,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,121200,1000,10.0,153,1000,True
0,hiermod,15,967,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,123323,1000,10.0,153,1000,True
0,hiermod,16,1360,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118605,1000,10.0,148,999,True
0,hiermod,17,740,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,123252,1000,10.0,158,1000,True
0,hiermod,18,1972,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,122611,1000,10.0,149,998,True
0,hiermod,19,1434,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,122107,1000,10.0,150,1000,True
0,hiermod,20,962,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,123611,1000,10.0,156,1000,True
0,hiermod,21,1297,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119451,1000,10.0,157,1000,True
0,hiermod,22,69,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,123424,1000,10.0,155,1000,True
0,hiermod,23,34,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,121696,1000,10.0,147,1000,True
0,hiermod,24,1674,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,120676,1000,10.0,149,1000,True
0,hiermod,25,357,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,122586,1000,10.0,160,1000,True
0,hiermod,26,757,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,122051,1000,10.0,150,1000,True
0,hiermod,27,1135,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,123263,1000,10.0,155,1000,True
0,hiermod,28,1575,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119286,1000,10.0,150,1000,True
0,hiermod,29,1244,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,122091,1000,10.0,150,1000,True
0,hiermod,30,570,1.5,32.11725,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,125138,1000,10.0,152,1000,True
