slope,p_ext,network_density,mean_pop_count,mean_cell_activity,active_frac,silent_frac,n_avalanches,pop_var,pop_cv,branching_ratio_regression,branching_ratio_mean,lag1_autocorr,autocorr_time_s,av_size_mean,av_size_max,av_size_q90,av_size_q99,av_size_q99_q50,av_size_cv,av_dur_mean_bins,av_dur_max_bins,av_dur_q90_bins,av_dur_q99_bins,av_dur_q99_q50,av_dur_cv,rough_size_slope,rough_size_r2,rough_duration_slope,rough_duration_r2,regime,branching_closeness,candidate_score
2.1,5.744990565600497e-06,0.0006840833333333334,60.25791666666667,0.030128958333333334,0.9991666666666666,0.0008333333333333334,1.3333333333333333,205.60527864583332,0.2531147555702972,0.9910905338178075,1.015966175833049,0.8115749397202213,0.2954013325658115,,,,,,,,,,,,,,,,,continuous,-0.00890946618219246,
2.1,1.3770001251951984e-05,0.0006840833333333334,60.66125,0.030330625,0.9991666666666666,0.0008333333333333334,1.3333333333333333,182.3489578125,0.23914832246681308,0.9909759727409647,1.0156633074216102,0.8002994903785785,0.27356139280487607,,,,,,,,,,,,,,,,,continuous,-0.009024027259035283,
2.1,3.300491659883871e-05,0.0006840833333333334,60.887499999999996,0.030443750000000002,0.9991666666666666,0.0008333333333333334,1.3333333333333333,180.35098229166667,0.23661648103544775,0.9910389024615472,1.0155820050243876,0.7984699486071652,0.26838623121285154,,,,,,,,,,,,,,,,,continuous,-0.008961097538452756,
2.1,7.910852728077119e-05,0.0006840833333333334,61.711666666666666,0.030855833333333332,0.9991666666666666,0.0008333333333333334,1.3333333333333333,181.74198645833334,0.23401202950275724,0.9911500729528507,1.015273655260267,0.799744434901954,0.2694615236177899,,,,,,,,,,,,,,,,,continuous,-0.008849927047149264,
2.1,0.00018961293447875924,0.0006840833333333334,63.224583333333335,0.03161229166666667,0.9995833333333334,0.0004166666666666667,1.3333333333333333,167.0857026041667,0.21825606415675536,0.9912053462437204,1.0143962431250328,0.7917075273535384,0.19907729485194336,,,,,,,,,,,,,,,,,continuous,-0.008794653756279636,
2.1,0.00045447774288657946,0.0006840833333333334,69.96416666666666,0.03498208333333333,0.9995833333333334,0.0004166666666666667,1.3333333333333333,151.012365625,0.18205515213199272,0.993078991480789,1.012220179018332,0.7649970768674512,0.08288932291591766,,,,,,,,,,,,,,,,,continuous,-0.006921008519210958,
2.1,0.0010893245196962969,0.0006840833333333334,78.06125,0.039030625,1.0,0.0,1.0,180.17592760416665,0.17410363874300547,0.9921314972820708,1.0134523009143384,0.7054629424724407,0.06782110139572717,,,,,,,,,,,,,,,,,continuous,-0.00786850271792916,
2.1,0.002610970345158807,0.0006840833333333334,93.42916666666667,0.04671458333333334,1.0,0.0,1.0,185.35001458333332,0.14675850556302183,0.9932919410009236,1.0116279250912539,0.63380693406753,0.02984859490712832,,,,,,,,,,,,,,,,,continuous,-0.006708058999076449,
2.1,0.006258159088532518,0.0006840833333333334,117.90166666666669,0.058950833333333334,1.0,0.0,1.0,203.37382604166666,0.12100226983875273,0.994767570063603,1.0089139000457321,0.5849061824662565,0.02290310341001246,,,,,,,,,,,,,,,,,continuous,-0.005232429936397054,
2.1,0.014999999999999996,0.0006840833333333334,153.52625,0.076763125,1.0,0.0,1.0,196.96920572916667,0.0915497178728047,0.9966241799737476,1.0063679328583162,0.49684484705425747,0.010601531866350995,,,,,,,,,,,,,,,,,continuous,-0.003375820026252363,
