mean_pop_count,mean_cell_activity,active_frac,silent_frac,pop_var,pop_std,pop_cv,branching_ratio_mean,branching_ratio_regression,lag1_autocorr,autocorr_time_s,n_avalanches,av_size_mean,av_size_max,av_size_q50,av_size_q90,av_size_q99,av_size_cv,av_size_q99_q50,av_dur_mean_bins,av_dur_max_bins,av_dur_q50_bins,av_dur_q90_bins,av_dur_q99_bins,av_dur_cv,av_dur_q99_q50,rough_size_slope,rough_size_r2,rough_duration_slope,rough_duration_r2,slope,p_ext,seed,T,network_density,e_w,i_w,theta
453.47125,0.226735625,1.0,0.0,3479.5816734375003,58.98797905876671,0.130080967776384,1.0244479250729668,0.9872720159660767,0.17888760234782733,0.0,1,,,,,,,,,,,,,,,,,,,1.8,0.00045447774288657946,1,8.0,0.002111,21.4115,21.675,7.5
451.38875,0.225694375,1.0,0.0,7603.3501234375,87.19719102951368,0.19317537495011444,1.0462868087317758,0.9674881065857888,0.0697608452448528,0.0,1,,,,,,,,,,,,,,,,,,,1.8,0.00045447774288657946,2,8.0,0.00212325,21.4115,21.675,7.5
456.155,0.2280775,1.0,0.0,4978.8159749999995,70.56072544269935,0.1546858533671651,1.0312977889322268,0.981387570906886,0.1522163067735755,0.0,1,,,,,,,,,,,,,,,,,,,1.8,0.0010893245196962969,0,8.0,0.00210375,21.4115,21.675,7.5
453.1175,0.22655875,1.0,0.0,4704.11119375,68.58652341203774,0.15136586737885335,1.0319752974980458,0.981326949594236,0.1244613786243714,0.0,1,,,,,,,,,,,,,,,,,,,1.8,0.0010893245196962969,1,8.0,0.002111,21.4115,21.675,7.5
456.64,0.22832,1.0,0.0,6063.6404,77.8693803750871,0.17052684910451762,1.033014657119245,0.9759183313032471,0.11091671719906618,0.0,1,,,,,,,,,,,,,,,,,,,1.8,0.002610970345158807,0,8.0,0.00210375,21.4115,21.675,7.5
454.805,0.2274025,1.0,0.0,7524.396975,86.74328201653428,0.1907263157101045,1.0428265179118117,0.9682295244874229,0.06815681992681387,0.0,1,,,,,,,,,,,,,,,,,,,1.8,0.0010893245196962969,2,8.0,0.00212325,21.4115,21.675,7.5
454.0375,0.22701875,1.0,0.0,6106.42609375,78.14362477995246,0.1721083055473442,1.0357300106211154,0.9743275702063793,0.07458727617779347,0.0,1,,,,,,,,,,,,,,,,,,,1.8,0.002610970345158807,2,8.0,0.00212325,21.4115,21.675,7.5
449.88125,0.224940625,1.0,0.0,3833.0121484375,61.91132488032783,0.13761703756341853,1.0252253801130848,0.9837210400748119,0.06966255965206727,0.0,1,,,,,,,,,,,,,,,,,,,1.8,0.002610970345158807,1,8.0,0.002111,21.4115,21.675,7.5
455.77875,0.227889375,1.0,0.0,5313.2572984375,72.89209352486387,0.15992867926568252,1.0311444377646506,0.9776654964226054,0.06353615434913124,0.0,1,,,,,,,,,,,,,,,,,,,1.8,0.006258159088532518,2,8.0,0.00212325,21.4115,21.675,7.5
456.875,0.2284375,1.0,0.0,3079.219375,55.4907143132975,0.12145710383211464,1.0220428797150516,0.9880405607213522,0.09391547022709822,0.0,1,,,,,,,,,,,,,,,,,,,1.8,0.006258159088532518,1,8.0,0.002111,21.4115,21.675,7.5
455.77375,0.227886875,1.0,0.0,2825.9300609375,53.15947762099906,0.11663567202147763,1.0176768710975361,0.9893421315228275,0.13284707499279977,0.0,1,,,,,,,,,,,,,,,,,,,1.8,0.006258159088532518,0,8.0,0.00210375,21.4115,21.675,7.5
460.84125,0.230420625,1.0,0.0,4796.1260484375,69.25406882225404,0.1502774953896898,1.027416352521046,0.9800649939337834,0.0414301461390742,0.0,1,,,,,,,,,,,,,,,,,,,1.8,0.014999999999999996,0,8.0,0.00210375,21.4115,21.675,7.5
458.97375,0.229486875,1.0,0.0,5064.9155609375,71.16822016137189,0.15505945636623386,1.0298484837130735,0.978637132565738,0.03722540651938381,0.0,1,,,,,,,,,,,,,,,,,,,1.8,0.014999999999999996,1,8.0,0.002111,21.4115,21.675,7.5
457.80625,0.228903125,1.0,0.0,4376.1737109375,66.1526546023476,0.14449923871145806,1.0256251308154594,0.9816425115402972,0.04542372971948009,0.0,1,,,,,,,,,,,,,,,,,,,1.8,0.014999999999999996,2,8.0,0.00212325,21.4115,21.675,7.5
