analysis_level,module_id,module_size,local_mean_rate_hz,local_pop_count_mean,local_pop_count_std,local_avalanche_tau,local_avalanche_xmin,local_avalanche_n_tail,local_n_avalanches,local_avalanche_size_mean,local_avalanche_size_max,local_avalanche_duration_mean_s,local_avalanche_duration_max_s,local_avalanche_threshold,local_avalanche_threshold_mode,local_frac_silent_bins,local_branching_proxy,local_timescale,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new_edge_density,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,actual_N,actual_E,actual_I,actual_ei_ratio_implied,actual_dt,actual_refractory_steps,actual_p_ext,actual_slope,actual_e_w,actual_i_w,actual_theta,T_RUN,repeat,seed,condition
3,42,16,2.6843749999999997,0.4295,0.6389285953844921,3.1512347949028268,1.0,2297,2297,1.869830213321724,9.0,0.015563778841967784,0.08,0.0,silent_bins,0.6425,0.3177522780965238,0.2119328313743906,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,43,16,4.215625,0.6745,0.7813768297051046,2.3729794882684874,1.0,2702,2702,2.496299037749815,15.0,0.018771280532938563,0.11,0.0,silent_bins,0.4928,0.3633974659784139,0.20451274247741005,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,44,16,3.7824999999999998,0.6052,0.7413049035316036,2.4401067781095707,1.0,2399,2399,2.522717799082951,13.0,0.01957065443934973,0.1,0.0,silent_bins,0.5305,0.43164446385673727,0.1979037338900376,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,45,16,4.310625,0.6897,0.7988829138240472,2.3119890968701413,1.0,2640,2640,2.6125,15.0,0.019340909090909093,0.1,0.0,silent_bins,0.4894,0.3810507409070498,0.15924766623682782,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,46,16,2.86625,0.4586,0.6521395862850222,2.538754416264653,1.0,1988,1988,2.306841046277666,11.0,0.019019114688128773,0.08,0.0,silent_bins,0.6219,0.44154209284028323,0.2618917149712291,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,47,16,6.734374999999999,1.0775,1.2342988900586438,2.052937120218891,2.0,1786,2132,5.053939962476548,29.0,0.02726547842401501,0.16,0.0,silent_bins,0.4187,0.4715216986403427,0.2032790028619051,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,48,16,2.421875,0.3875,0.6088873048438439,3.514525269362078,1.0,2267,2267,1.709307454786061,7.0,0.014455227172474636,0.06,0.0,silent_bins,0.6723,0.2597427529276253,0.20676574323408883,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,49,16,4.395625,0.7033,0.8476255718181229,1.9932577408088088,1.0,1970,1970,3.57005076142132,18.0,0.025015228426395943,0.11,0.0,silent_bins,0.5072,0.5694146743610882,0.24157421464709553,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,50,16,2.580625,0.4129,0.6342031141519253,3.3377526222050853,1.0,2321,2321,1.7789745799224472,8.0,0.014713485566566136,0.07,0.0,silent_bins,0.6585,0.27064780862580756,0.1864201928474678,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,51,16,4.784999999999999,0.7656,0.8778705143698585,1.966150298665399,1.0,2056,2056,3.7237354085603114,16.0,0.025500972762645912,0.12,0.0,silent_bins,0.4757,0.5644578757278691,0.18086166556342123,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,52,16,5.18,0.8288,0.8314388492246437,2.490715497647241,2.0,1752,2172,3.8158379373848987,21.0,0.0275414364640884,0.16,0.0,silent_bins,0.4018,0.5491946016543318,0.2474315023632947,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,53,16,2.3474999999999997,0.3756,0.597431703209664,3.596497070613245,1.0,2242,2242,1.6752899197145406,10.0,0.014295272078501339,0.1,0.0,silent_bins,0.6795,0.26024096385542167,0.0607004268152421,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,54,16,2.9993749999999997,0.4799,0.6637740504117347,3.0233640256204666,1.0,2521,2521,1.903609678698929,10.0,0.015684252280840937,0.09,0.0,silent_bins,0.6046,0.2997466090326427,0.14114117030713177,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,55,16,3.170625,0.5073,0.6853807044263793,2.820285740806919,1.0,2452,2452,2.0689233278955954,9.0,0.01675774877650897,0.08,0.0,silent_bins,0.5891,0.34630724797139323,0.2629731420438836,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,56,16,2.606875,0.4171,0.6364963393453257,2.9890391283997015,1.0,2129,2129,1.959135744480977,10.0,0.01617191169563175,0.08,0.0,silent_bins,0.6557,0.3417371783802452,0.20189591812926963,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,57,16,3.04875,0.4878,0.6689179022869697,2.7839909728809946,1.0,2354,2354,2.0722175021240443,9.0,0.017017841971112998,0.08,0.0,silent_bins,0.5994,0.3556106814533781,0.21683292030953766,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,58,16,2.446875,0.3915,0.6148396132325893,3.4922231591947526,1.0,2287,2287,1.7118495846086577,8.0,0.01435505028421513,0.06,0.0,silent_bins,0.6717,0.2550348202522116,0.2552902520237957,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
