generation,n_clusters,mean_cluster_size,scaled_variance,mean_variance,timescale,kurtosis_corr,mean_rate_hz,pop_rate_mean_hz,pop_rate_std_hz,scaled_variance_norm,timescale_norm,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new_edge_density,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,actual_N,actual_E,actual_I,actual_ei_ratio_implied,actual_dt,actual_refractory_steps,actual_p_ext,actual_slope,actual_e_w,actual_i_w,actual_theta,T_RUN,repeat,seed,condition
3,250,8.0,5.651871204376221,5.651871204376221,0.21898524978127948,23.621181883980952,3.7629500000000005,3.76295,0.494811880920416,22.835019511990428,1.1820537450960873,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22345,baseline
4,125,16.0,14.767468452453613,14.767468452453613,0.22778185581309,15.276828601775186,3.7629500000000005,3.76295,0.494811880920416,59.664386901346376,1.2295366742633347,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22345,baseline
5,63,31.746031746031747,35.13749313354492,35.13749313354492,0.23830119133010008,8.09902838867442,3.7629500000000005,3.76295,0.494811880920416,141.96454807492069,1.2863186719377144,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22345,baseline
6,32,62.5,80.16876220703125,80.16876220703125,0.24496385020470116,3.621357747571708,3.7629500000000005,3.76295,0.494811880920416,323.90250645347516,1.3222828333727241,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22345,baseline
7,16,125.0,177.19125366210938,177.19125366210938,0.23043716876148002,2.9365491992657047,3.7629500000000005,3.76295,0.494811880920416,715.8984322918369,1.2438697063656405,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22345,baseline
8,8,250.0,391.46197509765625,391.46197509765625,0.20775175911622087,2.981108280846541,3.7629500000000005,3.76295,0.494811880920416,1581.6074918048075,1.1214168313112685,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22345,baseline
9,4,500.0,867.06103515625,867.06103515625,0.20731114054936048,,3.7629500000000005,3.76295,0.494811880920416,3503.1505389841554,1.1190384299000484,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22345,baseline
0,2200,1.0,0.24583202600479126,0.24583202600479126,0.18307732217998945,35.30536951365871,3.8845590909090904,3.8845590909090912,0.4780945822388241,1.0,1.0,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22346,add_frac_0.1000_nadd_200
1,1100,2.0,0.7158342599868774,0.7158342599868774,0.19566542231130077,30.304457335070524,3.8845590909090904,3.8845590909090912,0.4780945822388241,2.911883661459658,1.0687583802374798,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22346,add_frac_0.1000_nadd_200
2,550,4.0,2.0248022079467773,2.0248022079467773,0.20671583296609444,25.22495261197946,3.8845590909090904,3.8845590909090912,0.4780945822388241,8.236527359162366,1.1291176345853757,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22346,add_frac_0.1000_nadd_200
3,275,8.0,5.484023094177246,5.484023094177246,0.22339988095099206,21.314520251474626,3.8845590909090904,3.8845590909090912,0.4780945822388241,22.30800918538727,1.2202487904611155,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22346,add_frac_0.1000_nadd_200
4,138,15.942028985507246,14.109292030334473,14.109292030334473,0.23733901232447,16.982406941856276,3.8845590909090904,3.8845590909090912,0.4780945822388241,57.394035511302675,1.296386737026523,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22346,add_frac_0.1000_nadd_200
5,69,31.884057971014492,34.32518768310547,34.32518768310547,0.24293902730004358,10.540511848645824,3.8845590909090904,3.8845590909090912,0.4780945822388241,139.62862463833932,1.326974987438379,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22346,add_frac_0.1000_nadd_200
6,35,62.857142857142854,78.56590270996094,78.56590270996094,0.24923877913719628,8.564907411120746,3.8845590909090904,3.8845590909090912,0.4780945822388241,319.5918122906805,1.3613853216192515,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22346,add_frac_0.1000_nadd_200
7,18,122.22222222222223,168.98626708984375,168.98626708984375,0.25746372533010875,6.016030046056159,3.8845590909090904,3.8845590909090912,0.4780945822388241,687.405420018587,1.4063114003655108,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22346,add_frac_0.1000_nadd_200
8,9,244.44444444444446,381.44146728515625,381.44146728515625,0.24138477591195795,4.205225897328587,3.8845590909090904,3.8845590909090912,0.4780945822388241,1551.634559110382,1.318485397523154,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22346,add_frac_0.1000_nadd_200
9,5,440.0,815.7937622070312,815.7937622070312,0.23185423879319547,2.0167062370983806,3.8845590909090904,3.8845590909090912,0.4780945822388241,3318.500748112988,1.2664279553163433,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22346,add_frac_0.1000_nadd_200
0,2600,1.0,0.25819069147109985,0.25819069147109985,0.17623013851489708,36.39365387622276,5.91055,5.91055,0.5369451443420867,1.0,1.0,2000,2600,600,0.3,1600,400,2080,520,480,120,0.00044922461230615307,0.00044922461230615307,1796,3006,1210,0.898,1.156153846153846,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22347,add_frac_0.3000_nadd_600
1,1300,2.0,0.7811574339866638,0.7811574339866638,0.1878975580977275,30.764864024546654,5.91055,5.91055,0.5369451443420867,3.025505797811078,1.0662055859522812,2000,2600,600,0.3,1600,400,2080,520,480,120,0.00044922461230615307,0.00044922461230615307,1796,3006,1210,0.898,1.156153846153846,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22347,add_frac_0.3000_nadd_600
2,650,4.0,2.2883048057556152,2.2883048057556152,0.19808405524643755,25.516405065632334,5.91055,5.91055,0.5369451443420867,8.862847814990854,1.1240078281484929,2000,2600,600,0.3,1600,400,2080,520,480,120,0.00044922461230615307,0.00044922461230615307,1796,3006,1210,0.898,1.156153846153846,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22347,add_frac_0.3000_nadd_600
3,325,8.0,6.406546592712402,6.406546592712402,0.20670080253475528,20.654559911970974,5.91055,5.91055,0.5369451443420867,24.81323612485661,1.1729026843911972,2000,2600,600,0.3,1600,400,2080,520,480,120,0.00044922461230615307,0.00044922461230615307,1796,3006,1210,0.898,1.156153846153846,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22347,add_frac_0.3000_nadd_600
4,163,15.950920245398773,16.962671279907227,16.962671279907227,0.212403065746595,15.771700026819348,5.91055,5.91055,0.5369451443420867,65.69822941043525,1.2052595971184585,2000,2600,600,0.3,1600,400,2080,520,480,120,0.00044922461230615307,0.00044922461230615307,1796,3006,1210,0.898,1.156153846153846,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22347,add_frac_0.3000_nadd_600
5,82,31.70731707317073,43.331016540527344,43.331016540527344,0.21832877013157168,10.886237985022488,5.91055,5.91055,0.5369451443420867,167.8256341994325,1.2388844040607498,2000,2600,600,0.3,1600,400,2080,520,480,120,0.00044922461230615307,0.00044922461230615307,1796,3006,1210,0.898,1.156153846153846,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22347,add_frac_0.3000_nadd_600
