module_id,module_size,local_mean_rate_hz,local_pop_count_mean,local_pop_count_std,local_avalanche_tau,local_avalanche_xmin,local_avalanche_n_tail,local_n_avalanches,local_avalanche_size_mean,local_avalanche_size_max,local_avalanche_threshold,local_branching_proxy,local_timescale,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,repeat,seed,condition,analysis_level
13,64,5.3687499999999995,3.436,2.055700367271456,1.5979833925388958,18.000000000000007,14,18,95.44444444444444,280.0,0.0,0.8287568647029456,-0.016973079981819364,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
14,64,7.5062500000000005,4.804,2.4227224356083386,2.00734002383872,6.0,81,94,17.75531914893617,56.0,4.0,0.8773768216516308,0.0075956677460641,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
15,64,4.1968749999999995,2.686,1.75596241417634,2.1486736091039313,12.0,37,46,29.195652173913043,113.0,0.0,0.7189695550351288,-0.13183416107340584,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
16,64,3.471875,2.222,1.478078482354709,2.1000406741805193,10.4,34,43,25.837209302325583,92.0,0.0,0.7058988764044943,0.1324317259079282,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
17,64,3.609375,2.31,1.4442645187083978,1.8648425723960687,7.800000000000001,36,45,25.666666666666668,88.0,0.0,0.702930005425936,0.09880916467697676,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
18,64,3.696875,2.366,1.5987632720324796,1.811745778409871,7.0,39,47,25.170212765957448,87.0,0.0,0.7584338832799803,-0.06093779730678106,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
19,64,3.325,2.128,1.3636773812012868,1.8341705270880952,6.600000000000001,39,49,21.714285714285715,61.0,0.0,0.7459766487851057,0.08525521855777256,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
20,64,2.79375,1.788,1.4138797685800586,1.7639515660923575,3.0,63,75,11.92,48.0,0.0,0.6371030209140202,0.026116700952304908,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
21,64,3.6937499999999996,2.364,1.4475855760541412,1.7663499986966578,8.0,29,36,32.833333333333336,122.0,0.0,0.7495443894819057,-0.3386048034924734,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
22,64,3.715625,2.378,1.4761829154952308,2.03260669255937,11.8,32,40,29.725,105.0,0.0,0.7702530028111424,-0.2063058751425005,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
