generation,n_clusters,mean_cluster_size,scaled_variance,mean_variance,timescale,kurtosis_corr,mean_rate_hz,pop_rate_mean_hz,pop_rate_std_hz,scaled_variance_norm,timescale_norm,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,repeat,seed,condition,analysis_level
2,550,4.0,2.605076313018799,2.605076313018799,-0.042779490075627785,2.6637817065894085,3.912090909090909,3.912090909090909,0.487211758397374,10.591039293787386,1.2643596445437744,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,1,22346,add_frac_0.1000_nadd_200,5
3,275,8.0,8.32242202758789,8.32242202758789,-0.04631739862646056,2.6009882520041736,3.912090909090909,3.912090909090909,0.487211758397374,33.83513115265464,1.3689235089061447,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,1,22346,add_frac_0.1000_nadd_200,5
4,138,15.942028985507246,26.596397399902344,26.596397399902344,-0.04745601031945745,2.551105502795942,3.912090909090909,3.912090909090909,0.487211758397374,108.12869032966319,1.4025754919682596,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,1,22346,add_frac_0.1000_nadd_200,5
5,69,31.884057971014492,84.8780746459961,84.8780746459961,-0.05042043532424634,2.5374761255103295,3.912090909090909,3.912090909090909,0.487211758397374,345.0751209338091,1.490189891735659,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,1,22346,add_frac_0.1000_nadd_200,5
6,35,62.857142857142854,260.0088195800781,260.0088195800781,-0.054075420721407086,2.5449190976819756,3.912090909090909,3.912090909090909,0.487211758397374,1057.075990880583,1.5982139946269565,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,1,22346,add_frac_0.1000_nadd_200,5
7,18,122.22222222222223,785.7828369140625,785.7828369140625,-0.04975276721946065,2.5023978099025643,3.912090909090909,3.912090909090909,0.487211758397374,3194.630752485179,1.4704567764940402,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,1,22346,add_frac_0.1000_nadd_200,5
0,2600,1.0,0.2940363585948944,0.2940363585948944,-0.019604457496820285,3.2033641974307554,5.849076923076923,5.849076923076922,0.6066327471714895,1.0,1.0,2000,2600,600,0.3,1600,400,2080,520,480,120,0.00044922461230615307,0.00044922461230615307,1796,3006,1210,0.898,1.156153846153846,1,22347,add_frac_0.3000_nadd_600,5
1,1300,2.0,0.9955859184265137,0.9955859184265137,-0.021535975619797573,3.08222997194021,5.849076923076923,5.849076923076922,0.6066327471714895,3.3859279280429804,1.0985244362559161,2000,2600,600,0.3,1600,400,2080,520,480,120,0.00044922461230615307,0.00044922461230615307,1796,3006,1210,0.898,1.156153846153846,1,22347,add_frac_0.3000_nadd_600,5
2,650,4.0,3.333296537399292,3.333296537399292,-0.023312678794075753,2.9585744531224103,5.849076923076923,5.849076923076922,0.6066327471714895,11.336341373998946,1.1891519465844396,2000,2600,600,0.3,1600,400,2080,520,480,120,0.00044922461230615307,0.00044922461230615307,1796,3006,1210,0.898,1.156153846153846,1,22347,add_frac_0.3000_nadd_600,5
3,325,8.0,11.051166534423828,11.051166534423828,-0.026303402360663947,2.8464748972228335,5.849076923076923,5.849076923076922,0.6066327471714895,37.58435380996355,1.3417051894922463,2000,2600,600,0.3,1600,400,2080,520,480,120,0.00044922461230615307,0.00044922461230615307,1796,3006,1210,0.898,1.156153846153846,1,22347,add_frac_0.3000_nadd_600,5
